question,answer,difficulty,topic,data_science_question
How many of you have heard of the word “tandem”?,,,,0
How can we use CNNs for text classification tasks?,Answer here,advanced,text classification,1
What is the K-fold Cross Validation?,Answer here,beginner,supervised learning,1
how do you feel about the current economic system?,,,,0
How do we choose the regularization parameter for linear models?,Answer here,intermediate,regularization,1
How do you get your child to eat their veggies?,,,,0
Do you know any good books about how to write and publish a book?,,,,0
What is the difference between Logistic Regression and Linear Regression?,Answer here,beginner,classification,1
What are the benefits of using recommender systems?,Answer here,beginner,recommender systems,1
You have a series with only one variable “y” measured at time t. How do predict “y” at time t+1? Which approaches would you use?,We want to look at the correlation between different observations of y. This measure of correlation is called autocorrelation. Autoregressive models are multiple regression models where the time-lag series of the original time series are treated like multiple independent variables.,intermediate,time series,1
What is the goal of machine learning?,Answer here,beginner,unsupervised learning,1
What is the name of the person who wrote this blog post?,,,,0
What are the other clustering algorithms do you know?,"* k-medoids: Takes the most central point instead of the mean value as the center of the cluster. This makes it more robust to noise.
* Agglomerative Hierarchical Clustering (AHC): hierarchical clusters combining the nearest clusters starting with each point as its own cluster.
* DIvisive ANAlysis Clustering (DIANA): hierarchical clustering starting with one cluster containing all points and splitting the clusters until each point describes its own cluster.
* Density-Based Spatial Clustering of Applications with Noise (DBSCAN): Cluster defined as maximum set of density-connected points.",intermediate,unsupervised learning,1
What does it mean to be a Christian?,,,,0
How many times have you had to change your last name?,,,,0
Is it possible to have more than one instance of a class in the same project?,,,,0
What is the difference between k-fold cross-validation and Leave One Out (LOO) cross-validation?,Answer here,beginner,supervised learning,1
How would you evaluate your ranking algorithms? Which offline metrics would you use?,Answer here,intermediate,unsupervised learning,1
Is it possible for a human being to see the future?,,,,0
What is precision-recall trade-off (PR curve)?,Answer here,intermediate,classification,1
What are you doing for the holiday weekend?,,,,0
If you were to make a movie about your life what would it be called?,,,,0
What is the best way to clean and maintain your camera equipment?,,,,0
"What is a recommender system, and how does it work?",Answer here,beginner,recommender systems,1
1/4 of a litre of milk contains 8% fat. How many litres of milk must be added to increase the fat content to 10%?,,,,0
How do you use trees for solving time series problems?,Answer here,intermediate,time series,1
Can you tell me about your work on the topic of domain adaptation for text classification?,Answer here,advanced,text classification,1
Can you use CNN for text classification?,Answer here,advanced,text classification,1
Why do you think it is so hard to find a balance in your life?,,,,0
How do you know when you’ve hit your limit on something?,,,,0
How do you get your hands on a copy of the book?,,,,0
How to evaluate performance of classification models?,Answer here,beginner,classification,1
Is there a way to set up a page that allows you to add your name and contact info at the bottom of each post?,,,,0
How many times have you been asked to be a model for a magazine or advertisement?,,,,0
What is the difference between a “sacrificial” and a “non-sacrificial” bridge?,,,,0
Is it possible to use the same file for both a PDF and a Word document?,,,,0
What are the key components of a data science pipeline?,Answer here,intermediate,supervised learning,1
What are the types of neural nets?,Answer here,intermediate,neural networks,1
I am interested in finding out if there is a way to get the current price of an asset or at least the most recent price.  Is it possible to get this information from the API?,,,,0
How can we evaluate the performance of recommender systems?,Answer here,beginner,recommender systems,1
Is there a way to use the same code for both the front and back ends of a website?,,,,0
Is there a way to get rid of the background in this picture?,,,,0
What is dropout? Why is it useful? How does it work?,"Dropout is a technique that at each training step turns off each neuron with a certain probability of *p*. This way at each iteration we train only *1-p* of neurons, which forces the network not to rely only on the subset of neurons for feature representation. This leads to regularizing effects that are controlled by the hyperparameter *p*.",intermediate,neural networks,1
Can you explain the use of word embeddings for text classification?,Answer here,advanced,text classification,1
What are the benefits of machine learning and how can it be applied to your organization?,Answer here,beginner,unsupervised learning,1
How do you approach the cold start problem?,Answer here,intermediate,recommender systems,1
How many of you have been to a movie theater in the last year?,,,,0
What is recommender system?,Answer here,beginner,recommender systems,1
what is the difference between a “circuit” and a “loop” in an electrical circuit?,,,,0
is there any way to see the contents of a directory in Linux?,,,,0
What is the most you have ever paid for a cup of coffee in your life?,,,,0
What is classification and how it differs from regression?,Answer here,beginner,classification,1
How to select the number of trees in gradient boosting trees model?,Answer here,intermediate,feature selection,1
What is time series and what are the types of time series?,Answer here,beginner,time series,1
How does one determine that a polynomial is irreducible?,,,,0
What is gradient descent?,Answer here,intermediate,supervised learning,1
What is object segmentation? Do you know any architectures for that?,"Object Segmentation is predicting masks. It does not differentiate objects. 
Architectures :
Mask RCNN, UNet",advanced,neural networks,1
How do you use XGBoost or LightGBM for text classification?,Answer here,advanced,text classification,1
"What is the first thing that comes to mind when you hear the word ""sacred""?",,,,0
Why do we need convolutional layers?,Answer here,intermediate,neural networks,1
How do you handle missing data in machine learning?,Answer here,beginner,supervised learning,1
What is the confusion table? What are the cells in this table?,"Confusion table (or confusion matrix) shows how many True positives (TP), True Negative (TN), False Positive (FP) and False Negative (FN) model has made.

||                |     Actual   |        Actual |
|:---:|   :---:        |     :---:    |:---:          |
||                | Positive (1) | Negative (0)  |
|Predicted|   Positive (1) | TP           | FP            |
|Predicted|   Negative (0) | FN           | TN            |

* True Positives (TP): When the actual class of the observation is 1 (True) and the prediction is 1 (True)
* True Negative (TN): When the actual class of the observation is 0 (False) and the prediction is 0 (False)
* False Positive (FP): When the actual class of the observation is 0 (False) and the prediction is 1 (True)
* False Negative (FN): When the actual class of the observation is 1 (True) and the prediction is 0 (False)

Most of the performance metrics for classification models are based on the values of the confusion matrix.",beginner,classification,1
What is the importance of machine learning algorithms in big data analytics?,Answer here,intermediate,unsupervised learning,1
Can you explain the concept of recommender systems?,Answer here,beginner,recommender systems,1
Is it possible to have a function which returns true for every input value?,,,,0
How do we compute the mean squared error in linear models?,Answer here,intermediate,unsupervised learning,1
How can you use machine learning for text classification with N-grams?,Answer here,intermediate,text classification,1
What is the difference between a “good” and a “great” writer?,,,,0
What are the applications of machine learning?,Answer here,beginner,unsupervised learning,1
What is convolutional layer?,Answer here,intermediate,neural networks,1
Do you believe in reincarnation?,,,,0
How would you use machine learning for text classification with word embeddings?,Answer here,intermediate,text classification,1
What are the problems with the L2 regularization term?,Answer here,intermediate,regularization,1
If you were to take a group of people from all over the country and put them in a room what would they talk about?,,,,0
What are the different ways to evaluate model performance?,Answer here,beginner,classification,1
How can we use CNN model for text classification?,Answer here,advanced,text classification,1
What is the linear regression model?,Answer here,beginner,supervised learning,1
Can you tell me about the time series?,Answer here,beginner,time series,1
3D printing with PLA?,,,,0
What is the importance of Data Science?,Answer here,intermediate,supervised learning,1
How do we interpret L1 regularization coefficients?,Answer here,intermediate,regularization,1
What is the purpose of this site?,,,,0
What is precision-recall trade-off?,Answer here,intermediate,classification,1
Which metrics for evaluating regression models do you know?,"1. Mean Squared Error(MSE)
2. Root Mean Squared Error(RMSE)
3. Mean Absolute Error(MAE)
4. R² or Coefficient of Determination
5. Adjusted R²",beginner,supervised learning,1
What is the name of the group of people who work in the field of social science research?,,,,0
What is the difference between an event and a probability?,,,,0
What are the advantages of time series analysis?,Answer here,beginner,time series,1
How do you validate your clustering?,Answer here,beginner,unsupervised learning,1
How do you know if a regression model is linear?,Answer here,beginner,supervised learning,1
What are different ways to solve the cold start problem in recommender systems?,Answer here,beginner,recommender systems,1
What is the concept of feature selection?,Answer here,beginner,feature selection,1
If you were to take a picture of the night sky what would be the most important thing to include in that picture?,,,,0
What regularization techniques do you know?,Answer here,intermediate,regularization,1
What do you think is the most overrated feature of Windows 10?,,,,0
How to train a neural network?,Answer here,beginner,neural networks,1
What is the difference between statistical and machine learning?,Answer here,intermediate,supervised learning,1
What is the role of machine learning in recommender systems?,Answer here,beginner,recommender systems,1
Do you know any dimensionality reduction techniques?,"* Singular Value Decomposition (SVD)
* Principal Component Analysis (PCA)
* Linear Discriminant Analysis (LDA)
* T-distributed Stochastic Neighbor Embedding (t-SNE)
* Autoencoders
* Fourier and Wavelet Transforms",intermediate,unsupervised learning,1
What is backpropagation? How does it work? Why do we need it?,"The Backpropagation algorithm looks for the minimum value of the error function in weight space using a technique called the delta rule or gradient descent. 
The weights that minimize the error function is then considered to be a solution to the learning problem. 

We need backpropogation because,
* Calculate the error – How far is your model output from the actual output.
* Minimum Error – Check whether the error is minimized or not.
* Update the parameters – If the error is huge then, update the parameters (weights and biases). After that again check the error.  
Repeat the process until the error becomes minimum.
* Model is ready to make a prediction – Once the error becomes minimum, you can feed some inputs to your model and it will produce the output.",intermediate,neural networks,1
How would you use bag of words?,Answer here,intermediate,text classification,1
What’s the learning rate?,"The learning rate is an important hyperparameter that controls how quickly the model is adapted to the problem during the training. It can be seen as the ""step width"" during the parameter updates, i.e. how far the weights are moved into the direction of the minimum of our optimization problem.",beginner,neural networks,1
Do you have any suggestions for a book on the history of medicine?,,,,0
What is the name of the book you are reading right now?,,,,0
What are the main components of gradient boosting trees?,Answer here,intermediate,feature selection,1
What do you get when you multiply 5 by 3?,,,,0
How do you know when to use the plural form of a word?,,,,0
You have a series with a “y” variable and a set of features. How do you predict “y” at t+1?,Answer here,intermediate,time series,1
What is the difference between text classification and text categorization?,Answer here,advanced,text classification,1
Is it possible to use a function as an argument in another function?,,,,0
How do you validate regression models?,Answer here,beginner,supervised learning,1
"1,000,000 random numbers between -1 and 1 with mean 0. What is the standard deviation?",Answer here,intermediate,unsupervised learning,1
Do you know any other ways to use gradient boosting trees for ranking?,Answer here,advanced,unsupervised learning,1
What is the difference between a person and a machine?,,,,0
What is the difference between gradient boosting model and random forest model?,Answer here,advanced,feature selection,1
What are some of the most common types of machine learning algorithms used in industry today?,Answer here,intermediate,unsupervised learning,1
What is the difference between a linear regression model and a multiple regression model?,Answer here,beginner,supervised learning,1
How to create a text classification model?,Answer here,advanced,text classification,1
What is gradient boosting trees?,"Gradient boosting is a machine learning technique for regression and classification problems, which produces a prediction model in the form of an ensemble of weak prediction models, typically decision trees.",intermediate,feature selection,1
How do you evaluate the accuracy of your models?,Answer here,beginner,classification,1
How do we choose the number of trees in random forest models?,Answer here,intermediate,feature selection,1
what is your favorite way to spend a weekend?,,,,0
What are the types of machine learning?,Answer here,beginner,unsupervised learning,1
What do you mean by transfer learning?,Answer here,intermediate,unsupervised learning,1
What is cold start?,Answer here,intermediate,recommender systems,1
How do you evaluate the clustering?,Answer here,beginner,unsupervised learning,1
Is there a way to get rid of the white border on the left hand side of the page?,,,,0
What is the difference between bagging and random forest model in gradient boosting trees?,Answer here,intermediate,feature selection,1
What is regularization in linear models?,Answer here,intermediate,regularization,1
What's the best way to make sure that your company has a culture of accountability?,,,,0
How do you go about making a list of the people you want to talk to in your area?,,,,0
Can you please tell me how do you use CNNs for text classification?,Answer here,advanced,text classification,1
How can you use text classification with N-grams?,Answer here,advanced,text classification,1
What do we mean by machine learning?,Answer here,beginner,unsupervised learning,1
What is Supervised Learning?,Answer here,beginner,supervised learning,1
What regularization parameters do we have to tune?,Answer here,beginner,regularization,1
What is the name of your favourite place?,,,,0
What’s the best thing about your job?,,,,0
What is TF-IDF? How is it useful for text classification?,"Term Frequency (TF) is a scoring of the frequency of the word in the current document. Inverse Document Frequency(IDF) is a scoring of how rare the word is across documents. It is used in scenario where highly recurring words may not contain as much informational content as the domain specific words. For example, words like “the” that are frequent across all documents therefore need to be less weighted. The TF-IDF score highlights words that are distinct (contain useful information) in a given document.",intermediate,text classification,1
What’s the interpretation of the bias term in linear models?,"Bias is simply, a difference between predicted value and actual/true value. It can be interpreted as the distance from the average prediction and true value i.e. true value minus mean(predictions). But dont get confused between accuracy and bias.",intermediate,regularization,1
What are your favorite things to do in the summer?,,,,0
What is the difference between linear models and generalized linear models?,Answer here,intermediate,regularization,1
If you are a parent what’s the hardest thing about being a parent?,,,,0
How can I set up a script to check the current date and time and see if it matches a specific date/time?,,,,0
Does anyone know of a good site that can help me with some basic algebra?,,,,0
Do you ever feel like you're not doing enough to keep up with the pace of life?,,,,0
What is the difference between linear models and non-linear models in machine learning?,Answer here,intermediate,supervised learning,1
What is the importance of using unsupervised learning algorithms for recommendation systems?,Answer here,intermediate,unsupervised learning,1
Is there a way to make the following script work?,,,,0
What is the K-fold cross-validation?,Answer here,beginner,supervised learning,1
How do you know when to change a tire?,,,,0
What is the use of CNN in image classification?,Answer here,advanced,classification,1
What’s the interpretation of regularization parameters in linear models?,Answer here,intermediate,regularization,1
How does one go about making a list of all the primes less than a given number?,,,,0
How can you use deep learning models for image classification?,Answer here,intermediate,classification,1
What do you think is the most important aspect of a good teacher?,,,,0
What is the difference between recommender systems and collaborative filtering?,Answer here,intermediate,recommender systems,1
"What is the difference between machine learning, deep learning, and natural language processing?",Answer here,intermediate,supervised learning,1
What is sigmoid? What does it do?,"A sigmoid function is a type of activation function, and more specifically defined as a squashing function. Squashing functions limit the output to a range between 0 and 1, making these functions useful in the prediction of probabilities.

Sigmod(x) = 1/(1+e^{-x})",beginner,classification,1
"If you are an analyst, what is the difference between linear regression and logistic regression?",Answer here,beginner,classification,1
What is the name of the character that you are playing?,,,,0
How do you get a hold of the developer of this game?,,,,0
Can we have both L1 and L2 regularization components in a linear model?,"Yes, elastic net regularization combines L1 and L2 regularization.",intermediate,regularization,1
What is Time series?,Answer here,beginner,time series,1
1/3 of the world's population lives in India. What is the fraction of the world's population that lives in countries that are at least as large as India?,,,,0
What is the K-fold Cross-validation?,Answer here,beginner,supervised learning,1
What’s your favorite book?,,,,0
What is the learning rate?,Answer here,beginner,neural networks,1
what is the name of the character that appears in the top left corner of every page?,,,,0
10 years ago what would you have paid to be able to see this?,,,,0
"how do you feel about the idea of a ""free"" university?",,,,0
Can you please tell me how to use word embeddings for text classification?,Answer here,advanced,text classification,1
What is ReLU? How is it better than sigmoid or tanh?,"ReLU is an abbreviation for Rectified Linear Unit. It is an activation function which has the value 0 for all negative values and the value f(x) = x for all positive values. The ReLU has a simple activation function which makes it fast to compute and while the sigmoid and tanh activation functions saturate at higher values, the ReLU has a potentially infinite activation, which addresses the problem of vanishing gradients.",intermediate,neural networks,1
What do you mean by overfitting?,Answer here,beginner,unsupervised learning,1
What do you think is the biggest challenge facing the Church today and how would you go about overcoming it?,,,,0
What is the best way to store and retrieve data?,,,,0
What was the first song you ever learned on guitar?,,,,0
Do you have any recommendations for the best places to stay in Paris?,,,,0
What do you think is the most important thing a parent can teach their child?,,,,0
What is the name of the person who said that we should be able to have a free and open internet?,,,,0
How much is the cost of a bottle of water in Brazil?,,,,0
What do you know about the use of neural nets for text classification?,Answer here,advanced,text classification,1
Is there a difference between “a” and “an”?,,,,0
How do we interpret linear models?,Answer here,intermediate,classification,1
Is there a way to evaluate how well our models perform on unseen data?,Answer here,beginner,regularization,1
How do you find the maximum value of a function f(x) = (x^2 + 2)^3 - 6x^2?,,,,0
What are the types of machine learning algorithms?,Answer here,intermediate,unsupervised learning,1
What regularization techniques do we know?,Answer here,intermediate,regularization,1
What are the types of classification models?,Answer here,beginner,classification,1
What do we do with AU PR?,Answer here,intermediate,classification,1
Is it possible to get a free copy of this book?,,,,0
How do you know when the time is right to sell your business?,,,,0
Precision-recall trade-off,"Tradeoff means increasing one parameter would lead to decreasing of other. Precision-recall tradeoff occur due to increasing one of the parameter(precision or recall) while keeping the model same. 

In an ideal scenario where there is a perfectly separable data, both precision and recall can get maximum value of 1.0. But in most of the practical situations, there is noise in the dataset and the dataset is not perfectly separable. There might be some points of positive class closer to the negative class and vice versa. In such cases, shifting the decision boundary can either increase the precision or recall but not both. Increasing one parameter leads to decreasing of the other.",intermediate,classification,1
How do you solve time series problems?,Answer here,beginner,time series,1
What do we mean by classification and what are the different types of classification?,Answer here,intermediate,unsupervised learning,1
What is the difference between a linear regression model and a multivariate linear regression model?,Answer here,intermediate,supervised learning,1
What is your favorite thing to do when you are not working?,,,,0
What is the difference between random forest and gradient boosting tree model?,Answer here,intermediate,feature selection,1
What is the difference between Linear models and non-linear models?,Answer here,intermediate,regularization,1
How can we know which features are more important for the decision tree model?,"Often, we want to find a split such that it minimizes the sum of the node impurities. The impurity criterion is a parameter of decision trees. Popular methods to measure the impurity are the Gini impurity and the entropy describing the information gain.",intermediate,feature selection,1
What is your favorite type of cake?,,,,0
What would you like to see in the next version of Firefox?,,,,0
What would you like to see on this site?,,,,0
How do you go about getting an idea for a novel?,,,,0
How many times have you seen a person with the same name as yours?,,,,0
How do we handle the overfitting problem in neural nets?,Answer here,beginner,neural networks,1
Do any of you have a good source for information about the history of the U.S. Air Force Academy?,,,,0
How do we use the L2 regularization term in linear models?,Answer here,intermediate,regularization,1
What is the purpose of regularization in linear models?,Answer here,intermediate,regularization,1
what is the name of the game where you have to find a person in a crowd and ask them to play a certain game?,,,,0
How is time series different from the usual regression problem?,"The principle behind causal forecasting is that the value that has to be predicted is dependant on the input features (causal factors). In time series forecasting, the to be predicted value is expected to follow a certain pattern over time.",beginner,time series,1
What is your favorite way to spend a day in the summer?,,,,0
What do we mean by “Deep Learning”?,Answer here,intermediate,unsupervised learning,1
What is the ROC curve? When to use it?,ROC stands for *Receiver Operating Characteristics*. The diagrammatic representation that shows the contrast between true positive rate vs false positive rate. It is used when we need to predict the probability of the binary outcome.,intermediate,classification,1
What do you think is the best way to learn a foreign language?,,,,0
How did you come up with the idea for your blog?,,,,0
What is the difference between a function and a relation?,,,,0
How would you use bag of words for text classification with bag of n-grams?,Answer here,advanced,text classification,1
How do you know if you're in a bad relationship?,,,,0
How do we know when to use convolutional layers and when to use fully connected layers?,Answer here,intermediate,neural networks,1
How much do you know about the history of the United States?,,,,0
What is your favorite place to eat in Chicago?,,,,0
Can you explain what is the difference between linear regression and logistic regression?,Answer here,beginner,classification,1
"How can we use pre-trained language models like BERT, RoBERTa, and GPT-3 to improve the performance of XGBoost?",Answer here,advanced,feature selection,1
Is there a way to get the most out of this site?,,,,0
"If there’s a trend in our series, how we can remove it? And why would we want to do it?","We can explicitly model the trend (and/or seasonality) with approaches such as Holt's Method or Holt-Winter's Method. We want to explicitly model the trend to reach the stationarity property for the data. Many time series approaches require stationarity. Without stationarity,the interpretation of the results of these analyses is problematic [Manuca, Radu & Savit, Robert. (1996). Stationarity and nonstationarity in time series analysis. Physica D: Nonlinear Phenomena. 99. 134-161. 10.1016/S0167-2789(96)00139-X. ].",intermediate,time series,1
How much do you know about your body and its systems?,,,,0
How much time does it take to get from the airport to the hotel?,,,,0
What is the difference between classification and regression?,Answer here,beginner,classification,1
What are recommender systems? When do we need them?,Answer here,beginner,recommender systems,1
What’s the regularization parameters for linear models?,Answer here,intermediate,regularization,1
how do you know what to wear when you go out?,,,,0
What is the best way to start a blog?,,,,0
How many of you have had to make a decision about your career path that was completely out of the blue?,,,,0
How do you use the gradient boosting trees for text classification?,Answer here,advanced,text classification,1
How do we check if a variable follows the normal distribution?,"1. Plot a histogram out of the sampled data. If you can fit the bell-shaped ""normal"" curve to the histogram, then the hypothesis that the underlying random variable follows the normal distribution can not be rejected.
2. Check Skewness and Kurtosis of the sampled data. Skewness = 0 and kurtosis = 3 are typical for a normal distribution, so the farther away they are from these values, the more non-normal the distribution.
3. Use Kolmogorov-Smirnov or/and Shapiro-Wilk tests for normality. They take into account both Skewness and Kurtosis simultaneously.
4. Check for Quantile-Quantile plot. It is a scatterplot created by plotting two sets of quantiles against one another. Normal Q-Q plot place the data points in a roughly straight line.",intermediate,supervised learning,1
What are the different time series techniques used in time series?,Answer here,intermediate,time series,1
Do you know any ways to use CNN for ranking?,Answer here,advanced,unsupervised learning,1
How do you decide which clustering algorithm to use?,Answer here,intermediate,unsupervised learning,1
How to choose the best regularization parameter?,Answer here,beginner,regularization,1
If you don’t have a computer at home how do you learn to code?,,,,0
How do we select the optimal regularization parameters in linear models?,Answer here,intermediate,regularization,1
What do we mean by bias-variance trade-off?,Answer here,beginner,unsupervised learning,1
How can we use machine learning to solve real-world problems?,Answer here,beginner,unsupervised learning,1
Does anyone know what the best way to get rid of those annoying black marks that appear on the bottom of your clothes after washing?,,,,0
What is the average distance between two points on the surface of a sphere?,,,,0
What is the best way to create a new user account?,,,,0
Why do we need to choose random forest model?,Answer here,beginner,feature selection,1
What is the difference between linear and logistic regression?,Answer here,beginner,classification,1
What are the different types of algorithms that are used for building recommender systems?,Answer here,advanced,recommender systems,1
What are the main challenges faced by data scientists today?,Answer here,intermediate,supervised learning,1
What would you do if you were offered the opportunity to go back in time?,,,,0
When do we need to use text embeddings?,Answer here,advanced,text classification,1
What are you reading?,,,,0
What is your favorite type of ice cream?,,,,0
What do you think of when you hear the word “recession”?,,,,0
2+2=4 so what?,,,,0
How do you know when to quit?,,,,0
What is the difference between an “open” and a “closed” problem?,,,,0
What are the different types of recommender systems and how do they differ from each other?,Answer here,beginner,recommender systems,1
What is time series and how is it different from the usual regression problem?,Answer here,beginner,time series,1
What is the most common type of error that you see in machine learning models?,Answer here,beginner,supervised learning,1
What is the difference between linear models and non-linear models?,Answer here,intermediate,regularization,1
Do you have any advice for someone who is interested in studying abroad but not sure where to start?,,,,0
3-5 years ago what would you have done if you were in the same situation as me?,,,,0
How many people would you guess are going to be in attendance at this year’s Super Bowl?,,,,0
How do we deal with over-fitting in linear models?,Answer here,intermediate,regularization,1
What’s the PR (precision-recall) curve?,Answer here,intermediate,classification,1
What is the difference between statistical learning and machine learning?,Answer here,intermediate,supervised learning,1
what is your favorite type of ice cream?,,,,0
What is the difference between cross validation and leave one out?,Answer here,beginner,supervised learning,1
"Why do you think we don’t have more women in science, technology, engineering and mathematics (STEM) fields?",,,,0
How can we use clicks data as the training data for ranking algorithms?,Answer here,advanced,unsupervised learning,1
"What are the main differences between CNN, RNN and LSTMs for text classification?",Answer here,advanced,text classification,1
What is the cold start problem?,"Collaborative filterung incorporates crowd knowledge to give recommendations for certain items. Say we want to recommend how much a user will like an item, we then will calculate the score using the recommendations of other users for this certain item. We can distinguish between two different ways of a cold start problem now. First, if there is a new item that has not been rated yet, we cannot give any recommendation. Also, when there is a new user, we cannot calculate a similarity to any other user.",intermediate,recommender systems,1
What are word embeddings? Why are they useful? Do you know Word2Vec?,"Word Embeddings are vector representations for words. Each word is mapped to one vector, this vector tries to capture some characteristics of the word, allowing similar words to have similar vector representations.  
Word Embeddings helps in capturing the inter-word semantics and represents it in real-valued vectors.",intermediate,text classification,1
What is the effect of regularization in linear models?,Answer here,intermediate,regularization,1
What’s pooling in CNN? Why do we need it?,"Pooling is a technique to downsample the feature map. It allows layers which receive relatively undistorted versions of the input to learn low level features such as lines, while layers deeper in the model can learn more abstract features such as texture.",intermediate,neural networks,1
What are time series?,Answer here,beginner,time series,1
What regularization techniques for neural nets do you know?,"* L1 Regularization - Defined as the sum of absolute values of the individual parameters. The L1 penalty causes a subset of the weights to become zero, suggesting that the corresponding features may safely be discarded. 
* L2 Regularization - Defined as the sum of square of individual parameters. Often supported by regularization hyperparameter alpha. It results in weight decay. 
* Data Augmentation - This requires some fake data to be created as a part of training set. 
* Drop Out : This is most effective regularization technique for neural nets. Few random nodes in each layer is deactivated in forward pass. This allows the algorithm to train on different set of nodes in each iterations.",intermediate,neural networks,1
What happens when we have correlated features in our data?,"In random forest, since random forest samples some features to build each tree, the information contained in correlated features is twice as much likely to be picked than any other information contained in other features. 

In general, when you are adding correlated features, it means that they linearly contains the same information and thus it will reduce the robustness of your model. Each time you train your model, your model might pick one feature or the other to ""do the same job"" i.e. explain some variance, reduce entropy, etc.",intermediate,feature selection,1
How do we initialize weights in neural nets?,Answer here,intermediate,neural networks,1
Do you have any tips for a first time visitor to the area?,,,,0
Why is the dropout layer important?,Answer here,advanced,neural networks,1
If I have a string of letters and I want the number of times each letter appears in the string how would I go about doing that?,,,,0
How does the linear model generalize to new data?,Answer here,intermediate,supervised learning,1
"What is the difference between a ""hard drive"" and a ""solid state drive""?",,,,0
How do we select the depth of the trees in random forest?,"The greater the depth, the greater amount of information is extracted from the tree, however, there is a limit to this, and the algorithm even if defensive against overfitting may learn complex features of noise present in data and as a result, may overfit on noise. Hence, there is no hard thumb rule in deciding the depth, but literature suggests a few tips on tuning the depth of the tree to prevent overfitting:

- limit the maximum depth of a tree
- limit the number of test nodes
- limit the minimum number of objects at a node required to split
- do not split a node when, at least, one of the resulting subsample sizes is below a given threshold
- stop developing a node if it does not sufficiently improve the fit.",intermediate,feature selection,1
What do you mean by gradient decent?,Answer here,intermediate,unsupervised learning,1
What is the difference between mean and median?,Answer here,intermediate,unsupervised learning,1
What is the expected value of a random variable?,Answer here,intermediate,supervised learning,1
What's the best way to get a copy of a CD or DVD?,,,,0
What is the difference between deep learning and machine learning?,Answer here,intermediate,supervised learning,1
4th grade or 5th grade?,,,,0
How can you use machine learning for text classification?,Answer here,intermediate,text classification,1
What kind of augmentations do you know?,"There are many kinds of augmentations which can be used according to the type of data you are working on some of which are geometric and numerical transformation, PCA, cropping, padding, shifting, noise injection etc.",beginner,neural networks,1
How can we improve the performance of XGBoost model on text classification?,Answer here,advanced,text classification,1
What is the difference between a real and an imaginary number?,,,,0
What kind of CNN architectures for classification do you know?,"Image Classification
* Inception v3
* Xception 
* DenseNet
* AlexNet
* VGG16
* ResNet
* SqueezeNet
* EfficientNet
* MobileNet

The last three are designed so they use smaller number of parameters which is helpful for edge AI.",advanced,neural networks,1
What is the difference between linear regression and time series?,Answer here,intermediate,time series,1
How do you use gradient boosting models for ranking?,Answer here,advanced,unsupervised learning,1
What are bag of words?,Answer here,intermediate,text classification,1
What is your favorite type of food?,,,,0
I am trying to figure out how to create a macro that will allow me to change the color of my text boxes.  Is there a way to do this in VBA?,,,,0
Is it possible to use gradient boosting trees in high dimensional feature spaces?,Answer here,intermediate,feature selection,1
"2x+3y=15 what is the equation of the line that passes through the points (0,5) and (4,1)?",,,,0
How would you use N-grams for text classification?,Answer here,advanced,text classification,1
Why do I have to make a post?,,,,0
How do you use GANs for text classification?,Answer here,advanced,text classification,1
Is there a difference between linear models and non-linear models?,Answer here,intermediate,regularization,1
What are the challenges in machine learning?,Answer here,beginner,unsupervised learning,1
What’s the interpretation of L1 regularization terms?,Answer here,intermediate,regularization,1
Can you please tell me how can we use deep learning for anomaly detection?,Answer here,advanced,neural networks,1
What do you think of the new TV series The Walking Dead?,,,,0
Which of the following statements is true?,,,,0
What are the different types of machine learning?,Answer here,beginner,unsupervised learning,1
How do we choose regularization parameters in linear models?,Answer here,intermediate,regularization,1
What are the differences between CNN and RNN architectures?,Answer here,advanced,neural networks,1
"What do you think is the difference between a ""good"" and a ""bad"" business?",,,,0
How does L2 regularization look like in a linear model?,L2 regularization adds a penalty term to our cost function which is equal to the sum of squares of models coefficients multiplied by a lambda hyperparameter. This technique makes sure that the coefficients are close to zero and is widely used in cases when we have a lot of features that might correlate with each other.,intermediate,regularization,1
What are the main differences between gradient boosting trees and random forest models?,Answer here,intermediate,feature selection,1
What are the different types of regression models?,Answer here,beginner,supervised learning,1
What’s a convolutional layer?,"The idea of the convolutional layer is the assumption that the information needed for making a decision often is spatially close and thus, it only takes the weighted sum over nearby inputs. It also assumes that the networks’ kernels can be reused for all nodes, hence the number of weights can be drastically reduced. To counteract only one feature being learnt per layer, multiple kernels are applied to the input which creates parallel channels in the output. Consecutive layers can also be stacked to allow the network to find more high-level features.",intermediate,neural networks,1
"Can we use linear models to estimate the effect of an independent variable on a response variable. If yes, then how can we do it?",Answer here,intermediate,regularization,1
What do you think of the new version of Windows?,,,,0
What’s your favorite linear regression model?,Answer here,beginner,supervised learning,1
what do you think of when you think of the word “gospel”?,,,,0
Why do we need randomization in random forest?,"Random forest in an extension of the **bagging** algorithm which takes *random data samples from the training dataset* (with replacement), trains several models and averages predictions. In addition to that, each time a split in a tree is considered, random forest takes a *random sample of m features from full set of n features* (with replacement) and uses this subset of features as candidates for the split (for example, `m = sqrt(n)`).

Training decision trees on random data samples from the training dataset *reduces variance*. Sampling features for each split in a decision tree *decorrelates trees*.",intermediate,feature selection,1
What is a recommender system and how does it work?,Answer here,beginner,recommender systems,1
How many people have you met in your life that you still think of as a friend?,,,,0
how many of you have been to a movie theater in the last year?,,,,0
