question,answer,difficulty,topic
"1,000,000 random numbers between -1 and 1 with mean 0. What is the standard deviation?",Answer here,intermediate,unsupervised learning
Do you know any other ways to use gradient boosting trees for ranking?,Answer here,advanced,unsupervised learning
What is the difference between gradient boosting model and random forest model?,Answer here,advanced,feature selection
What are some of the most common types of machine learning algorithms used in industry today?,Answer here,intermediate,unsupervised learning
What is the difference between a linear regression model and a multiple regression model?,Answer here,beginner,supervised learning
How to create a text classification model?,Answer here,advanced,text classification
What is gradient boosting trees?,"Gradient boosting is a machine learning technique for regression and classification problems, which produces a prediction model in the form of an ensemble of weak prediction models, typically decision trees.",intermediate,feature selection
How do you evaluate the accuracy of your models?,Answer here,beginner,classification
How do we choose the number of trees in random forest models?,Answer here,intermediate,feature selection
What are the types of machine learning?,Answer here,beginner,unsupervised learning
What do you mean by transfer learning?,Answer here,intermediate,unsupervised learning
What is cold start?,Answer here,intermediate,recommender systems
How do you evaluate the clustering?,Answer here,beginner,unsupervised learning
What is the difference between bagging and random forest model in gradient boosting trees?,Answer here,intermediate,feature selection
What is regularization in linear models?,Answer here,intermediate,regularization
Can you please tell me how do you use CNNs for text classification?,Answer here,advanced,text classification
How can you use text classification with N-grams?,Answer here,advanced,text classification
What do we mean by machine learning?,Answer here,beginner,unsupervised learning
What is Supervised Learning?,Answer here,beginner,supervised learning
What regularization parameters do we have to tune?,Answer here,beginner,regularization
What is TF-IDF? How is it useful for text classification?,"Term Frequency (TF) is a scoring of the frequency of the word in the current document. Inverse Document Frequency(IDF) is a scoring of how rare the word is across documents. It is used in scenario where highly recurring words may not contain as much informational content as the domain specific words. For example, words like “the” that are frequent across all documents therefore need to be less weighted. The TF-IDF score highlights words that are distinct (contain useful information) in a given document.",intermediate,text classification
What’s the interpretation of the bias term in linear models?,"Bias is simply, a difference between predicted value and actual/true value. It can be interpreted as the distance from the average prediction and true value i.e. true value minus mean(predictions). But dont get confused between accuracy and bias.",intermediate,regularization
What is the difference between linear models and generalized linear models?,Answer here,intermediate,regularization
What is the difference between linear models and non-linear models in machine learning?,Answer here,intermediate,supervised learning
What is the importance of using unsupervised learning algorithms for recommendation systems?,Answer here,intermediate,unsupervised learning
What is the K-fold cross-validation?,Answer here,beginner,supervised learning
What is the use of CNN in image classification?,Answer here,advanced,classification
What’s the interpretation of regularization parameters in linear models?,Answer here,intermediate,regularization
How can you use deep learning models for image classification?,Answer here,intermediate,classification
What is the difference between recommender systems and collaborative filtering?,Answer here,intermediate,recommender systems
"What is the difference between machine learning, deep learning, and natural language processing?",Answer here,intermediate,supervised learning
What is sigmoid? What does it do?,"A sigmoid function is a type of activation function, and more specifically defined as a squashing function. Squashing functions limit the output to a range between 0 and 1, making these functions useful in the prediction of probabilities.

Sigmod(x) = 1/(1+e^{-x})",beginner,classification
"If you are an analyst, what is the difference between linear regression and logistic regression?",Answer here,beginner,classification
Can we have both L1 and L2 regularization components in a linear model?,"Yes, elastic net regularization combines L1 and L2 regularization.",intermediate,regularization
What is Time series?,Answer here,beginner,time series
What is the K-fold Cross-validation?,Answer here,beginner,supervised learning
What is the learning rate?,Answer here,beginner,neural networks
Can you please tell me how to use word embeddings for text classification?,Answer here,advanced,text classification
What is ReLU? How is it better than sigmoid or tanh?,"ReLU is an abbreviation for Rectified Linear Unit. It is an activation function which has the value 0 for all negative values and the value f(x) = x for all positive values. The ReLU has a simple activation function which makes it fast to compute and while the sigmoid and tanh activation functions saturate at higher values, the ReLU has a potentially infinite activation, which addresses the problem of vanishing gradients.",intermediate,neural networks
What do you mean by overfitting?,Answer here,beginner,unsupervised learning
What do you know about the use of neural nets for text classification?,Answer here,advanced,text classification
How do we interpret linear models?,Answer here,intermediate,classification
Is there a way to evaluate how well our models perform on unseen data?,Answer here,beginner,regularization
What are the types of machine learning algorithms?,Answer here,intermediate,unsupervised learning
What regularization techniques do we know?,Answer here,intermediate,regularization
What are the types of classification models?,Answer here,beginner,classification
What do we do with AU PR?,Answer here,intermediate,classification
Precision-recall trade-off,"Tradeoff means increasing one parameter would lead to decreasing of other. Precision-recall tradeoff occur due to increasing one of the parameter(precision or recall) while keeping the model same. 

In an ideal scenario where there is a perfectly separable data, both precision and recall can get maximum value of 1.0. But in most of the practical situations, there is noise in the dataset and the dataset is not perfectly separable. There might be some points of positive class closer to the negative class and vice versa. In such cases, shifting the decision boundary can either increase the precision or recall but not both. Increasing one parameter leads to decreasing of the other.",intermediate,classification
How do you solve time series problems?,Answer here,beginner,time series
What do we mean by classification and what are the different types of classification?,Answer here,intermediate,unsupervised learning
What is the difference between a linear regression model and a multivariate linear regression model?,Answer here,intermediate,supervised learning
What is the difference between random forest and gradient boosting tree model?,Answer here,intermediate,feature selection
What is the difference between Linear models and non-linear models?,Answer here,intermediate,regularization
How can we know which features are more important for the decision tree model?,"Often, we want to find a split such that it minimizes the sum of the node impurities. The impurity criterion is a parameter of decision trees. Popular methods to measure the impurity are the Gini impurity and the entropy describing the information gain.",intermediate,feature selection
How do we handle the overfitting problem in neural nets?,Answer here,beginner,neural networks
How do we use the L2 regularization term in linear models?,Answer here,intermediate,regularization
What is the purpose of regularization in linear models?,Answer here,intermediate,regularization
How is time series different from the usual regression problem?,"The principle behind causal forecasting is that the value that has to be predicted is dependant on the input features (causal factors). In time series forecasting, the to be predicted value is expected to follow a certain pattern over time.",beginner,time series
What do we mean by “Deep Learning”?,Answer here,intermediate,unsupervised learning
What is the ROC curve? When to use it?,ROC stands for *Receiver Operating Characteristics*. The diagrammatic representation that shows the contrast between true positive rate vs false positive rate. It is used when we need to predict the probability of the binary outcome.,intermediate,classification
How would you use bag of words for text classification with bag of n-grams?,Answer here,advanced,text classification
How do we know when to use convolutional layers and when to use fully connected layers?,Answer here,intermediate,neural networks
Can you explain what is the difference between linear regression and logistic regression?,Answer here,beginner,classification
"How can we use pre-trained language models like BERT, RoBERTa, and GPT-3 to improve the performance of XGBoost?",Answer here,advanced,feature selection
"If there’s a trend in our series, how we can remove it? And why would we want to do it?","We can explicitly model the trend (and/or seasonality) with approaches such as Holt's Method or Holt-Winter's Method. We want to explicitly model the trend to reach the stationarity property for the data. Many time series approaches require stationarity. Without stationarity,the interpretation of the results of these analyses is problematic [Manuca, Radu & Savit, Robert. (1996). Stationarity and nonstationarity in time series analysis. Physica D: Nonlinear Phenomena. 99. 134-161. 10.1016/S0167-2789(96)00139-X. ].",intermediate,time series
What is the difference between classification and regression?,Answer here,beginner,classification
What are recommender systems? When do we need them?,Answer here,beginner,recommender systems
What’s the regularization parameters for linear models?,Answer here,intermediate,regularization
How do you use the gradient boosting trees for text classification?,Answer here,advanced,text classification
How do we check if a variable follows the normal distribution?,"1. Plot a histogram out of the sampled data. If you can fit the bell-shaped ""normal"" curve to the histogram, then the hypothesis that the underlying random variable follows the normal distribution can not be rejected.
2. Check Skewness and Kurtosis of the sampled data. Skewness = 0 and kurtosis = 3 are typical for a normal distribution, so the farther away they are from these values, the more non-normal the distribution.
3. Use Kolmogorov-Smirnov or/and Shapiro-Wilk tests for normality. They take into account both Skewness and Kurtosis simultaneously.
4. Check for Quantile-Quantile plot. It is a scatterplot created by plotting two sets of quantiles against one another. Normal Q-Q plot place the data points in a roughly straight line.",intermediate,supervised learning
What are the different time series techniques used in time series?,Answer here,intermediate,time series
Do you know any ways to use CNN for ranking?,Answer here,advanced,unsupervised learning
How do you decide which clustering algorithm to use?,Answer here,intermediate,unsupervised learning
How to choose the best regularization parameter?,Answer here,beginner,regularization
How do we select the optimal regularization parameters in linear models?,Answer here,intermediate,regularization
What do we mean by bias-variance trade-off?,Answer here,beginner,unsupervised learning
How can we use machine learning to solve real-world problems?,Answer here,beginner,unsupervised learning
Why do we need to choose random forest model?,Answer here,beginner,feature selection
What is the difference between linear and logistic regression?,Answer here,beginner,classification
What are the different types of algorithms that are used for building recommender systems?,Answer here,advanced,recommender systems
What are the main challenges faced by data scientists today?,Answer here,intermediate,supervised learning
When do we need to use text embeddings?,Answer here,advanced,text classification
What are the different types of recommender systems and how do they differ from each other?,Answer here,beginner,recommender systems
What is time series and how is it different from the usual regression problem?,Answer here,beginner,time series
What is the most common type of error that you see in machine learning models?,Answer here,beginner,supervised learning
What is the difference between linear models and non-linear models?,Answer here,intermediate,regularization
How do we deal with over-fitting in linear models?,Answer here,intermediate,regularization
What’s the PR (precision-recall) curve?,Answer here,intermediate,classification
What is the difference between statistical learning and machine learning?,Answer here,intermediate,supervised learning
What is the difference between cross validation and leave one out?,Answer here,beginner,supervised learning
How can we use clicks data as the training data for ranking algorithms?,Answer here,advanced,unsupervised learning
"What are the main differences between CNN, RNN and LSTMs for text classification?",Answer here,advanced,text classification
What is the cold start problem?,"Collaborative filterung incorporates crowd knowledge to give recommendations for certain items. Say we want to recommend how much a user will like an item, we then will calculate the score using the recommendations of other users for this certain item. We can distinguish between two different ways of a cold start problem now. First, if there is a new item that has not been rated yet, we cannot give any recommendation. Also, when there is a new user, we cannot calculate a similarity to any other user.",intermediate,recommender systems
What are word embeddings? Why are they useful? Do you know Word2Vec?,"Word Embeddings are vector representations for words. Each word is mapped to one vector, this vector tries to capture some characteristics of the word, allowing similar words to have similar vector representations.  
Word Embeddings helps in capturing the inter-word semantics and represents it in real-valued vectors.",intermediate,text classification
What is the effect of regularization in linear models?,Answer here,intermediate,regularization
What’s pooling in CNN? Why do we need it?,"Pooling is a technique to downsample the feature map. It allows layers which receive relatively undistorted versions of the input to learn low level features such as lines, while layers deeper in the model can learn more abstract features such as texture.",intermediate,neural networks
What are time series?,Answer here,beginner,time series
What regularization techniques for neural nets do you know?,"* L1 Regularization - Defined as the sum of absolute values of the individual parameters. The L1 penalty causes a subset of the weights to become zero, suggesting that the corresponding features may safely be discarded. 
* L2 Regularization - Defined as the sum of square of individual parameters. Often supported by regularization hyperparameter alpha. It results in weight decay. 
* Data Augmentation - This requires some fake data to be created as a part of training set. 
* Drop Out : This is most effective regularization technique for neural nets. Few random nodes in each layer is deactivated in forward pass. This allows the algorithm to train on different set of nodes in each iterations.",intermediate,neural networks
What happens when we have correlated features in our data?,"In random forest, since random forest samples some features to build each tree, the information contained in correlated features is twice as much likely to be picked than any other information contained in other features. 

In general, when you are adding correlated features, it means that they linearly contains the same information and thus it will reduce the robustness of your model. Each time you train your model, your model might pick one feature or the other to ""do the same job"" i.e. explain some variance, reduce entropy, etc.",intermediate,feature selection
How do we initialize weights in neural nets?,Answer here,intermediate,neural networks
Why is the dropout layer important?,Answer here,advanced,neural networks
How does the linear model generalize to new data?,Answer here,intermediate,supervised learning
How do we select the depth of the trees in random forest?,"The greater the depth, the greater amount of information is extracted from the tree, however, there is a limit to this, and the algorithm even if defensive against overfitting may learn complex features of noise present in data and as a result, may overfit on noise. Hence, there is no hard thumb rule in deciding the depth, but literature suggests a few tips on tuning the depth of the tree to prevent overfitting:

- limit the maximum depth of a tree
- limit the number of test nodes
- limit the minimum number of objects at a node required to split
- do not split a node when, at least, one of the resulting subsample sizes is below a given threshold
- stop developing a node if it does not sufficiently improve the fit.",intermediate,feature selection
What do you mean by gradient decent?,Answer here,intermediate,unsupervised learning
What is the difference between mean and median?,Answer here,intermediate,unsupervised learning
What is the expected value of a random variable?,Answer here,intermediate,supervised learning
What is the difference between deep learning and machine learning?,Answer here,intermediate,supervised learning
How can you use machine learning for text classification?,Answer here,intermediate,text classification
What kind of augmentations do you know?,"There are many kinds of augmentations which can be used according to the type of data you are working on some of which are geometric and numerical transformation, PCA, cropping, padding, shifting, noise injection etc.",beginner,neural networks
How can we improve the performance of XGBoost model on text classification?,Answer here,advanced,text classification
What kind of CNN architectures for classification do you know?,"Image Classification
* Inception v3
* Xception 
* DenseNet
* AlexNet
* VGG16
* ResNet
* SqueezeNet
* EfficientNet
* MobileNet

The last three are designed so they use smaller number of parameters which is helpful for edge AI.",advanced,neural networks
What is the difference between linear regression and time series?,Answer here,intermediate,time series
How do you use gradient boosting models for ranking?,Answer here,advanced,unsupervised learning
What are bag of words?,Answer here,intermediate,text classification
Is it possible to use gradient boosting trees in high dimensional feature spaces?,Answer here,intermediate,feature selection
How would you use N-grams for text classification?,Answer here,advanced,text classification
How do you use GANs for text classification?,Answer here,advanced,text classification
Is there a difference between linear models and non-linear models?,Answer here,intermediate,regularization
What are the challenges in machine learning?,Answer here,beginner,unsupervised learning
What’s the interpretation of L1 regularization terms?,Answer here,intermediate,regularization
Can you please tell me how can we use deep learning for anomaly detection?,Answer here,advanced,neural networks
What are the different types of machine learning?,Answer here,beginner,unsupervised learning
How do we choose regularization parameters in linear models?,Answer here,intermediate,regularization
What are the differences between CNN and RNN architectures?,Answer here,advanced,neural networks
How does L2 regularization look like in a linear model?,L2 regularization adds a penalty term to our cost function which is equal to the sum of squares of models coefficients multiplied by a lambda hyperparameter. This technique makes sure that the coefficients are close to zero and is widely used in cases when we have a lot of features that might correlate with each other.,intermediate,regularization
What are the main differences between gradient boosting trees and random forest models?,Answer here,intermediate,feature selection
What are the different types of regression models?,Answer here,beginner,supervised learning
What’s a convolutional layer?,"The idea of the convolutional layer is the assumption that the information needed for making a decision often is spatially close and thus, it only takes the weighted sum over nearby inputs. It also assumes that the networks’ kernels can be reused for all nodes, hence the number of weights can be drastically reduced. To counteract only one feature being learnt per layer, multiple kernels are applied to the input which creates parallel channels in the output. Consecutive layers can also be stacked to allow the network to find more high-level features.",intermediate,neural networks
"Can we use linear models to estimate the effect of an independent variable on a response variable. If yes, then how can we do it?",Answer here,intermediate,regularization
What’s your favorite linear regression model?,Answer here,beginner,supervised learning
Why do we need randomization in random forest?,"Random forest in an extension of the **bagging** algorithm which takes *random data samples from the training dataset* (with replacement), trains several models and averages predictions. In addition to that, each time a split in a tree is considered, random forest takes a *random sample of m features from full set of n features* (with replacement) and uses this subset of features as candidates for the split (for example, `m = sqrt(n)`).

Training decision trees on random data samples from the training dataset *reduces variance*. Sampling features for each split in a decision tree *decorrelates trees*.",intermediate,feature selection
What is a recommender system and how does it work?,Answer here,beginner,recommender systems
How can we use text embeddings for recommendation systems?,Answer here,advanced,text classification
Would you prefer gradient boosting trees model or logistic regression when doing text classification with N-grams?,Answer here,intermediate,text classification
"What is the probability that two random numbers chosen from the set {1, 2, 3, 4, 5} will sum to 6?",Answer here,intermediate,classification
What is the difference between Random Forest model and Gradient Boosting model?,Answer here,intermediate,feature selection
How can you use CNN for text classification?,Answer here,advanced,text classification
What is the difference between “normal” and “skewed” distribution?,Answer here,intermediate,supervised learning
What if we have a series with only one variable “y” measured at time t and a set of features at time t-1?,Answer here,intermediate,time series
"You are given a set of numbers, and you have to find the sum of the squares of all the numbers in the set. What is the time complexity of this algorithm?",Answer here,advanced,unsupervised learning
What is machine learning?,Answer here,beginner,unsupervised learning
How do we handle missing values in linear models?,Answer here,intermediate,regularization
What are the different models in gradient boosting trees?,Answer here,intermediate,feature selection
How do we deal with missing values in supervised learning algorithms?,Answer here,beginner,unsupervised learning
How do we choose the number of components in linear models?,Answer here,intermediate,regularization
"How we can incorporate implicit feedback (clicks, etc) into our recommender systems?","In comparison to explicit feedback, implicit feedback datasets lack negative examples. For example, explicit feedback can be a positive or a negative rating, but implicit feedback may be the number of purchases or clicks. One popular approach to solve this problem is named weighted alternating least squares (wALS) [Hu, Y., Koren, Y., & Volinsky, C. (2008, December). Collaborative filtering for implicit feedback datasets. In Data Mining, 2008. ICDM'08. Eighth IEEE International Conference on (pp. 263-272). IEEE.]. Instead of modeling the rating matrix directly, the numbers (e.g. amount of clicks) describe the strength in observations of user actions. The model tries to find latent factors that can be used to predict the expected preference of a user for an item.",intermediate,recommender systems
What does the confusion matrix tell us about the classification problem?,Answer here,beginner,classification
What are the main parameters in the gradient descent algorithm?,Answer here,intermediate,unsupervised learning
What are the types of time series?,Answer here,beginner,time series
What are the different types of machine learning algorithms?,Answer here,intermediate,unsupervised learning
Can neuro nets be used to build recommender systems?,Answer here,intermediate,recommender systems
How would you approach the cold start problem in a recommender system?,Answer here,intermediate,recommender systems
How to perform text classification using word embeddings?,Answer here,advanced,text classification
How do we deal with feature selection in random forest model?,Answer here,beginner,feature selection
"Why do we need to split our data into three parts: train, validation, and test?","The training set is used to fit the model, i.e. to train the model with the data. The validation set is then used to provide an unbiased evaluation of a model while fine-tuning hyperparameters. This improves the generalization of the model. Finally, a test data set which the model has never ""seen"" before should be used for the final evaluation of the model. This allows for an unbiased evaluation of the model. The evaluation should never be performed on the same data that is used for training. Otherwise the model performance would not be representative.",beginner,supervised learning
What regularization techniques do we have for linear models?,Answer here,intermediate,regularization
How do we use XGBoost models?,Answer here,advanced,feature selection
3 baselines approaches to cold start problem?,Answer here,intermediate,recommender systems
What is bag of words? How we can use it for text classification?,"Bag of Words is a representation of text that describes the occurrence of words within a document. The order or structure of the words is not considered. For text classification, we look at the histogram of the words within the text and consider each word count as a feature.",intermediate,text classification
How would you use machine learning for text classification?,Answer here,intermediate,text classification
What is unsupervised learning and how can we use it for NLP tasks?,Answer here,beginner,unsupervised learning
Can you explain the concept of the cold start problem?,Answer here,intermediate,recommender systems
When would you choose K-means and when DBScan?,"* DBScan is more robust to noise.
* DBScan is better when the amount of clusters is difficult to guess.
* K-means has a lower complexity, i.e. it will be much faster, especially with a larger amount of points.",intermediate,unsupervised learning
What are the challenges in building an end-to-end pipeline for text classification?,Answer here,advanced,text classification
How can we use word embeddings for classification?,Answer here,advanced,text classification
How do we interpret the weights of linear models?,Answer here,intermediate,regularization
What is the difference between linear models and generalized linear models (GLMs)?,Answer here,intermediate,regularization
"What is the difference between mean, median, and mode in descriptive statistics?",Answer here,intermediate,unsupervised learning
How do we deal with time series?,Answer here,beginner,time series
How can we use XGBoost or LightGBM models for text classification?,Answer here,advanced,text classification
What is overfitting?,"When your model perform very well on your training set but can't generalize the test set, because it adjusted a lot to the training set.",beginner,supervised learning
Do we need to normalize features before applying linear models in linear models?,Answer here,intermediate,regularization
What is ROC (Receiver Operating Characteristic) score?,Answer here,intermediate,classification
What is supervised learning?,Answer here,beginner,supervised learning
How do you solve the problem below?,Answer here,beginner,classification
Is it possible to have an unbalanced classification model?,Answer here,beginner,classification
How would you use machine learning for text classification with N-grams?,Answer here,intermediate,text classification
How can we use ranking algorithms for ranking?,Answer here,advanced,unsupervised learning
Why do we need to use activation functions?,Answer here,beginner,neural networks
Why do we need to use dropout layers?,Answer here,advanced,neural networks
What are the key challenges in building a recommender system?,Answer here,intermediate,recommender systems
What are the challenges you face while building machine learning models?,Answer here,intermediate,supervised learning
What are the challenges you can face when building a recommender system?,Answer here,intermediate,recommender systems
Possible approaches to solving the problem?,Answer here,intermediate,recommender systems
How do we choose the regularization parameters in linear models?,Answer here,intermediate,regularization
How do you use XGBoost or LightGBM to deal with class imbalance problem?,Answer here,advanced,feature selection
What is the difference between a machine learning algorithm and a deep learning algorithm?,Answer here,intermediate,unsupervised learning
What is the linear regression?,Answer here,beginner,supervised learning
Which model would you use for text classification with bag of words features?,"1. Bag Of Words model
2. Word2Vec Embeddings
3. fastText Embeddings
4. Convolutional Neural Networks (CNN)
5. Long Short-Term Memory (LSTM)
6. Bidirectional Encoder Representations from Transformers (BERT)",intermediate,text classification
What is the K-fold cross validation?,Answer here,beginner,supervised learning
What happens when the learning rate is too large? Too small?,"A large learning rate can accelerate the training. However, it is possible that we ""shoot"" too far and miss the minimum of the function that we want to optimize, which will not result in the best solution. On the other hand, training with a small learning rate takes more time but it is possible to find a more precise minimum. The downside can be that the solution is stuck in a local minimum, and the weights won't update even if it is not the best possible global solution.",beginner,neural networks
How do you evaluate the performance of your models?,Answer here,beginner,classification
Can we use K-fold cross validation to estimate the generalization error of a model?,Answer here,beginner,supervised learning
Can we use feature selection techniques in random forest model?,Answer here,intermediate,feature selection
Can you tell me about how can we use GANs for text classification?,Answer here,advanced,text classification
How do we decide the number of trees in random forest model?,Answer here,intermediate,feature selection
What are the three pillars of machine learning?,Answer here,beginner,unsupervised learning
Which regularization techniques for neural nets do you know?,Answer here,intermediate,neural networks
How to deal with overfitting and underfitting in gradient boosting models?,Answer here,intermediate,feature selection
What is the role of Machine Learning in Big Data Analytics?,Answer here,beginner,supervised learning
What is the importance of machine learning  in recommender systems?,Answer here,intermediate,recommender systems
What are recommender systems and how do they work?,Answer here,beginner,recommender systems
What is the effect of regularization parameter on the coefficients in linear models?,Answer here,intermediate,regularization
What is Adam? What’s the main difference between Adam and SGD?,"Adam (Adaptive Moment Estimation) is a optimization technique for training neural networks. on an average, it is the best optimizer .It works with momentums of first and second order. The intuition behind the Adam is that we don’t want to roll so fast just because we can jump over the minimum, we want to decrease the velocity a little bit for a careful search.

Adam tends to converge faster, while SGD often converges to more optimal solutions.
SGD's high variance disadvantages gets rectified by Adam (as advantage for Adam).",intermediate,neural networks
How do you approach tuning parameters in XGBoost or LightGBM?,"Depending upon the dataset, parameter tuning can be done manually or using hyperparameter optimization frameworks such as optuna and hyperopt. In manual parameter tuning, we need to be aware of max-depth, min_samples_leaf and min_samples_split so that our model does not overfit the data but try to predict generalized characteristics of data (basically keeping variance and bias low for our model).",advanced,feature selection
What is model checkpointing?,Saving the weights learned by a model mid training for long running processes is known as model checkpointing so that you can resume your training from a certain checkpoint.,intermediate,neural networks
Can you please tell me about the importance of using hyperparameter tuning in XGBoost?,Answer here,advanced,feature selection
Can we have both L2 and L1 regularization components in a linear model?,Answer here,intermediate,regularization
Feature importance in gradient boosting trees — what are possible options?,Answer here,intermediate,feature selection
What are recommender systems? Why do we need them?,Answer here,beginner,recommender systems
What are the most common problems in time series analysis?,Answer here,beginner,time series
What are word embeddings?,Answer here,advanced,text classification
How do we use machine learning to build models for recommender systems?,Answer here,beginner,recommender systems
What are the advantages of using transformers for text classification?,Answer here,advanced,text classification
What is the difference between supervised and unsupervised machine learning?,Answer here,beginner,unsupervised learning
How can we use text embeddings for sentiment analysis?,Answer here,advanced,text classification
What is the recommender system?,Answer here,beginner,recommender systems
What is the difference between linear regression and logistic regression?,Answer here,beginner,classification
What are time series and what are the problems with them?,Answer here,beginner,time series
What if we set all the weights of a neural network to 0?,"If all the weights of a neural network are set to zero, the output of each connection is same (W*x = 0). This means the gradients which are backpropagated to each connection in a layer is same. This means all the connections/weights learn the same thing, and the model never converges.",intermediate,neural networks
What is the K-fold cross-validation technique?,Answer here,beginner,supervised learning
What’s the difference between L1 and L2 regularization parameters?,Answer here,intermediate,regularization
What is time series and what are its applications?,Answer here,beginner,time series
What is time series and how it is different from the standard regression?,Answer here,beginner,time series
"How do we split the data into train, validation and test sets?",Answer here,beginner,supervised learning
What is k-fold cross validation?,Answer here,beginner,supervised learning
How to evaluate the model?,Answer here,beginner,classification
Which models do you know for solving time series problems?,"* Simple Exponential Smoothing: approximate the time series with an exponential function
* Trend-Corrected Exponential Smoothing (Holt‘s Method): exponential smoothing that also models the trend
* Trend- and Seasonality-Corrected Exponential Smoothing (Holt-Winter‘s Method): exponential smoothing that also models trend and seasonality
* Time Series Decomposition: decomposed a time series into the four components trend, seasonal variation, cycling variation and irregular component
* Autoregressive models: similar to multiple linear regression, except that the dependent variable y_t depends on its own previous values rather than other independent variables.
* Deep learning approaches (RNN, LSTM, etc.)",intermediate,time series
How can you use machine learning for text classification with bag of words?,Answer here,intermediate,text classification
What are the potential problems with many large trees?,"- Overfitting: A large number of large trees can lead to overfitting, where the model becomes too complex and is able to memorize the training data but doesn't generalize well to new, unseen data.

- Slow prediction time: As the number of trees in the forest increases, the prediction time for new data points can become quite slow. This can be a problem when you need to make predictions in real-time or on a large dataset.

- Memory consumption: Random Forest models with many large trees can consume a lot of memory, which can be a problem when working with large datasets or on a limited hardware.

- Lack of interpretability: Random Forest models with many large trees can be difficult to interpret, making it harder to understand how the model is making predictions or what features are most important.

- Difficulty in tuning : With an increasing number of large trees the tuning process becomes more complex and computationally expensive.

It's important to keep in mind that the number of trees in a Random Forest should be chosen based on the specific problem and dataset, rather than using a large number of trees by default. In practice, the number of trees in a random forest is chosen based on the trade-off between the computational cost and the performance.",intermediate,feature selection
What is the concept of regularization in linear models?,Answer here,intermediate,regularization
What are the advantages of time series?,Answer here,beginner,time series
How do you go about building a recommender system?,Answer here,intermediate,recommender systems
What kind of problems neural nets can solve?,"Neural nets are good at solving non-linear problems. Some good examples are problems that are relatively easy for humans (because of experience, intuition, understanding, etc), but difficult for traditional regression models: speech recognition, handwriting recognition, image identification, etc.",beginner,neural networks
How do you use transformers for text classification?,Answer here,advanced,text classification
"What is the difference between linear regression and multiple linear regression, and how are they used in practice?",Answer here,beginner,supervised learning
What is the difference between text classification and text embedding?,Answer here,advanced,text classification
What are time series problems?,Answer here,beginner,time series
How we can use machine learning for text classification with bag of words features?,Answer here,intermediate,text classification
What is linear regression?,Answer here,beginner,supervised learning
How would you use word embeddings for text classification with N-grams?,Answer here,advanced,text classification
What is Machine Learning?,Answer here,beginner,unsupervised learning
"What happens to our linear regression model if we have three columns in our data: x, y, z — and z is a sum of x and y?","We would not be able to perform the regression. Because z is linearly dependent on x and y so when performing the regression <img src=""https://render.githubusercontent.com/render/math?math={X}^{T}{X}""> would be a singular (not invertible) matrix.",intermediate,classification
What is the difference between Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs)?,Answer here,intermediate,neural networks
What is the difference between logistic regression and linear regression?,Answer here,beginner,classification
What are the different types of time series analysis?,Answer here,beginner,time series
How can we use machine learning for recommendation system?,Answer here,beginner,recommender systems
What is the problem with using trees for solving time series problems?,Answer here,intermediate,time series
How does a usual fully-connected feed-forward neural network work?,"In a usual fully-connected feed-forward network, each neuron receives input from every element of the previous layer and thus the receptive field of a neuron is the entire previous layer. They are usually used to represent feature vectors for input data in classification problems but can be expensive to train because of the number of computations involved.",intermediate,neural networks
How do we deal with overfitting and underfitting in random forest model?,Answer here,beginner,feature selection
What are the main parameters of the decision tree model?,"* maximum tree depth
* minimum samples per leaf node
* impurity criterion",beginner,feature selection
How can we use deep learning approaches for text classification?,Answer here,advanced,text classification
How do I handle missing values in machine learning models?,Answer here,intermediate,supervised learning
What is the difference between cross-validation and k-fold cross-validation?,Answer here,beginner,supervised learning
What is the difference between Gradient Boosting Trees and Random Forests?,Answer here,intermediate,feature selection
"What are the main difference between gradient boosting trees, random forest and XGBoost models?",Answer here,advanced,feature selection
How would you explain to someone who has no background in machine learning how deep learning works?,Answer here,beginner,unsupervised learning
How can we use deep learning models for text classification?,Answer here,intermediate,text classification
What are the different types of neural nets?,Answer here,intermediate,neural networks
What is a time series? When do we need it?,Answer here,beginner,time series
What is the difference between regression and classification?,Answer here,beginner,classification
What’s singular value decomposition? How is it typically used for machine learning?,"* Singular Value Decomposition (SVD) is a general matrix decomposition method that factors a matrix X into three matrices L (left singular values), Σ (diagonal matrix) and R^T (right singular values).
* For machine learning, Principal Component Analysis (PCA) is typically used. It is a special type of SVD where the singular values correspond to the eigenvectors and the values of the diagonal matrix are the squares of the eigenvalues. We use these features as they are statistically descriptive.
* Having calculated the eigenvectors and eigenvalues, we can use the Kaiser-Guttman criterion, a scree plot or the proportion of explained variance to determine the principal components (i.e. the final dimensionality) that are useful for dimensionality reduction.",intermediate,unsupervised learning
What is the concept of bias in machine learning?,Answer here,beginner,supervised learning
What is the difference between gradient boosting tree and XGBoost?,Answer here,advanced,feature selection
Can we use CNN for object detection?,Answer here,advanced,neural networks
How do we interpret regularization parameters?,Answer here,intermediate,regularization
How can we do text classification with deep learning?,Answer here,advanced,text classification
What is time series and what are the applications of time series?,Answer here,beginner,time series
Do you know how to use CNNs for ranking?,Answer here,advanced,unsupervised learning
What are convolutional layers?,Answer here,intermediate,neural networks
What are the different types of classification models?,Answer here,beginner,classification
What are the key components of a recommender system?,Answer here,intermediate,recommender systems
How do you do an online evaluation of a new ranking algorithm?,Answer here,intermediate,unsupervised learning
